id_nasabah,nama,pekerjaan,pendapatan,saldo_tab,saldo_giro,saldo_deposito,kol_1,kol_2,kol_3,kol_4,kol_5,kolslik1,kolslik2,kolslik3,kolslik4,kolslik5,frekdhn,jml_agunan,total_agunan,atm_trx,atm_nom,mobile_trx,mobile_nom,internet_trx,internet_nom,edc_trx,edc_nom,rtgs_trx,rtgs_nom,sknbi_trx,sknbi_nom,bifast_trx,bifast_nom,qris_trx,qris_nom,listrik,pdam,pbb,pkb,postpaid,pulsa,paytv,asuransi,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10,label
1,lGUnG,PERUSAHAAN SWASTA ASING,5,1830000,2840000,4210000,6,4,2,0,0,8,2,2,0,0,8,20,600000000,73,1349608598,1179,974983524,150,2591412672,288,928682640,589,1070559591,1571,247194611,475,1310721357,2287,1931630495,300000,600000,0,300000,700000,0,600000,300000,84,4,56,49,27,99,21,2,89,19,89,9,31,Moderate
2,zXbdX,IBU RUMAH TANGGA,3,4620000,3570000,6850000,0,0,0,0,0,0,0,0,0,0,11,18,1800000000,61,1146728206,404,2078000139,305,796284098,1715,987892488,812,97132461,861,1554161544,1524,844681797,1892,1068935044,300000,500000,1000000,800000,0,100000,600000,100000,91,80,52,95,100,59,17,99,79,82,1,48,21,Not Potential
3,cZeZz,LAIN-LAIN,2,970000,320000,5510000,3,2,0,0,0,7,3,2,0,0,3,1,500000000,48,1708621296,214,2860793217,1293,1345005087,471,1423135200,698,2608233484,458,2418694655,1453,1866964952,1899,587364456,0,1000000,800000,0,300000,100000,300000,1000000,35,46,13,69,9,86,58,98,49,43,5,80,32,Moderate
4,BagKB,"BURUH,PRT & TENAGA KEAMANAN",4,560000,470000,7850000,5,4,3,0,0,7,3,1,1,0,10,15,1600000000,233,2706693868,1853,2782382699,2312,2733520662,2347,1182950539,2158,1390420772,2362,1452790362,331,1408595303,330,729951535,100000,300000,600000,300000,300000,300000,0,800000,55,14,35,47,92,16,50,23,24,58,67,38,56,Moderate
5,ubDRW,PEGAWAI BANK,7,3610000,960000,5070000,0,0,0,0,0,0,0,0,0,0,7,15,200000000,2293,860902133,1562,617678353,189,1313186016,2058,2928831330,669,2933322343,2154,205987951,722,1692289006,1155,1693199606,600000,900000,800000,400000,800000,200000,700000,600000,16,10,58,62,29,17,80,15,70,61,48,96,85,Not Potential
6,cbBhQ,PENGURUS PARPOL,1,2560000,3560000,2070000,5,4,2,1,0,6,4,2,0,0,8,16,100000000,1502,2482526258,396,1884512912,713,1617393088,385,1448247111,2084,2183778530,2180,2905828249,2376,2390200453,979,2486216400,400000,700000,900000,200000,700000,1000000,900000,600000,90,42,78,56,6,45,92,65,98,38,5,84,19,Moderate
7,FpidK,PROFESIONAL & KONSULTAN,2,3680000,3970000,5670000,0,0,0,0,0,0,0,0,0,0,11,11,1800000000,522,1432210467,1328,782294108,1545,2898258228,2187,942969286,1561,1812643634,669,2872502375,1531,2318622157,525,2416797256,300000,300000,700000,700000,100000,200000,300000,1000000,99,5,10,79,30,84,94,86,38,18,22,7,49,Not Potential
8,QMcez,PEGAWAI MONER CHANGER,6,510000,820000,1520000,5,4,3,0,0,7,5,0,0,0,5,6,1100000000,1175,2108547746,421,1246053462,1401,216845400,976,1941942960,251,1745344318,710,1490369216,1520,133809704,2130,2654218326,700000,1000000,1000000,400000,100000,900000,0,900000,26,36,44,71,84,68,6,33,98,24,44,33,18,Moderate
9,UiLkV,PENGURUS/PEG.YYS/LEMBAGA LAIN.,4,1970000,3700000,4720000,9,3,0,0,0,5,4,3,0,0,2,11,300000000,1462,2401078334,129,293559930,1379,643924922,472,607235181,383,885907204,1971,1382353469,1361,1756799150,1360,2031406478,700000,700000,800000,800000,800000,100000,300000,100000,56,75,75,22,38,82,9,77,76,86,1,1,16,Moderate
10,TSZqr,PEJABAT LEMB.EKS.& PEMERINTAH,7,2470000,600000,7570000,5,3,2,2,0,9,2,1,0,0,6,13,0,1939,644477690,2232,2402510638,1755,573087255,1190,207874239,440,1751441809,2182,517245700,2159,1634177724,532,183060496,900000,500000,200000,200000,400000,100000,0,500000,93,62,69,56,84,60,14,72,95,3,68,17,57,Moderate
11,KXwYQ,PEGAWAI BANK,2,3030000,2390000,710000,0,0,0,0,0,0,0,0,0,0,8,10,1900000000,1301,653667329,1530,207997165,1484,1774741121,337,924562617,328,2895377034,1345,2646574513,814,236693698,89,2455922778,800000,900000,100000,200000,900000,300000,800000,100000,77,51,69,60,17,0,78,11,31,94,10,16,50,Not Potential
12,XdLOw,PENGRAJIN,2,2270000,240000,9110000,5,4,3,0,0,6,4,1,1,0,1,11,1800000000,1798,1951766414,1713,484250949,1767,1530269427,1635,1463319768,1809,1710413586,1918,1487651970,929,387264661,1551,714330590,1000000,1000000,500000,1000000,400000,700000,200000,600000,11,48,36,59,30,80,34,47,81,3,34,26,11,Moderate
13,GJkRX,TNI/POLRI (TERMASUK PENSIUNAN),1,3060000,2690000,9460000,0,0,0,0,0,0,0,0,0,0,11,19,1500000000,2327,1139223418,2346,372521323,2039,1470423523,420,967769880,1512,1522229143,158,2607319260,281,557004510,1986,1992725850,400000,400000,0,100000,200000,100000,500000,800000,32,50,9,54,58,52,27,67,94,90,52,63,40,Not Potential
14,ehvTL,PELAJAR/MAHASISWA,4,510000,2660000,9880000,6,4,2,0,0,5,3,2,2,0,11,20,1500000000,1855,696088049,1889,2670853468,154,22142161,935,1620727562,2166,1124770706,1970,1536153292,225,319433087,927,2290031306,400000,400000,0,1000000,0,400000,100000,100000,32,65,57,26,50,94,2,7,14,49,51,38,29,Moderate
